generacion,hipervolumen,id_solucion,delta_ttv,num_cortes,calles_cortadas,aristas_cortadas
1,11015211.1189,0,107342.84,3,Boulevard Cuarto Centenario | 0 Calle Este | Boulevard Roberto Romero Larios,2347139626-4716520193-0; 1681021089-3514886780-0; 4147792494-2817086667-0
1,11015211.1189,1,2154380.50,4,Boulevard Cuarto Centenario | (sin nombre: 3154921857-12121728925) | 0 Calle Este | 2a Avenida NE,1689601661-521415823-0; 3154921857-12121728925-0; 1681021093-2287106073-0; 521414474-521414481-0
1,11015211.1189,2,8753487.78,5,5a Avenida NO | Boulevard Cuarto Centenario | 6a Calle NO | 1a Avenida SE | Antigua Carretera del Norte,2347139875-2347139888-0; 4024691361-1689601661-0; 2347139875-4177205822-0; 521417211-1681021113-0; 2347139615-11904639519-0
2,13490993.5579,0,8753487.78,5,5a Avenida NO | Boulevard Cuarto Centenario | 6a Calle NO | 1a Avenida SE | Antigua Carretera del Norte,2347139875-2347139888-0; 4024691361-1689601661-0; 2347139875-4177205822-0; 521417211-1681021113-0; 2347139615-11904639519-0
2,13490993.5579,1,4290504.06,4,5a Avenida SE | 0 Calle Oeste | Boulevard Cuarto Centenario | (sin nombre: 1681023824-3391839073),2287106073-2287106082-0; 563133899-1681021102-0; 2347139626-4716520193-0; 1681023824-3391839073-0
2,13490993.5579,2,447001.71,3,Antigua Carretera del Norte | 9a Calle NO | Boulevard Cuarto Centenario,11904639538-8829885429-0; 521414481-521416651-0; 4024691696-4024691690-0
3,21366166.5091,0,5475102.43,4,(sin nombre: 5035807331-5035807341) | Antigua Carretera del Norte | 4a Avenida SE | (sin nombre: 1681023824-3391839073),5035807331-5035807341-0; 585133723-11904639538-0; 4178837725-1681021070-0; 1681023824-3391839073-0
3,21366166.5091,1,15331765.10,5,5a Avenida SE | 1a Calle SE | Boulevard Cuarto Centenario | 5a Avenida NO | Boulevard Cuarto Centenario,2287106082-2287106085-0; 2287106082-2347139702-0; 3343104922-2347139626-0; 2347139875-2347139888-0; 4716520193-1689601659-0
3,21366166.5091,2,559298.98,3,Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | 2a Avenida NE,4177205819-4177220675-0; 2817086667-512533997-0; 521414474-521414481-0
4,22485545.4919,0,15331765.10,5,5a Avenida SE | 1a Calle SE | Boulevard Cuarto Centenario | 5a Avenida NO | Boulevard Cuarto Centenario,2287106082-2287106085-0; 2287106082-2347139702-0; 3343104922-2347139626-0; 2347139875-2347139888-0; 4716520193-1689601659-0
4,22485545.4919,1,559298.98,3,Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | 2a Avenida NE,4177205819-4177220675-0; 2817086667-512533997-0; 521414474-521414481-0
4,22485545.4919,2,559298.98,3,Boulevard Cuarto Centenario | Boulevard Roberto Romero Larios | 2a Avenida NE,4177205819-4177220675-0; 2817086667-512533997-0; 521414474-521414481-0
4,22485545.4919,3,6594481.41,4,5a Avenida SE | 1a Calle SO | 2a Calle SE | 1a Avenida SO,2287106082-2287106085-0; 1681021088-2287109244-0; 4178837725-2347139676-0; 1681021088-1681021081-0
